day,month,hour,dayofweek,ward,hour_slot,theft,other_offenses,child_offense,sexual_crime,vehicle_theft,deceptive_practice,assault,narcotics,criminal_damage
9,12,14,6,11,3,0.4047793510527894,0.10363294340646938,0.606898232911897,0.10027269617302834,0.11934009709210028,0.17401874223397157,0.11416800055660697,0.12180589064408753,0.26619515704016056
9,12,14,6,12,3,0.35268776380829503,0.1024001618129816,0.6967540063265875,0.10006558439084479,0.10827756264260979,0.14818515718595723,0.11552927245324573,0.10873895535912581,0.2784726471314636
9,12,14,6,13,3,0.2946364863628067,0.1014433978207088,0.7810891271906089,0.10001294562047637,0.10296887558431769,0.12813944087856874,0.11659514454147296,0.10299632829832973,0.2832293648138212
9,12,14,6,14,3,0.23976082565618786,0.10079282071497439,0.8561820693994505,0.1000021043887628,0.10089537920174463,0.11479203884246976,0.11734914756295037,0.10088194853044764,0.28045477681412306
9,12,14,6,15,3,0.19395920697048374,0.10039946513316265,0.9202271722482697,0.10000028293151464,0.10022804419093152,0.10702946915505412,0.11782025603780374,0.10022381674807088,0.27122339769582016
9,12,14,6,16,3,0.15940502028749662,0.10018545346467046,0.9731010622785727,0.10000003160284346,0.1000492680383108,0.1030334453463017,0.1180644886717986,0.10004918975449313,0.2572231516666237
9,12,14,6,17,3,0.1354705013052126,0.100079666118614,1.0158997044664995,0.10000000294503819,0.10000906726321944,0.10119371162889813,0.11814862772843843,0.10000940199276612,0.24030042766242485
9,12,14,6,18,3,0.12007504512242344,0.10003178188516469,1.050318126332699,0.10000000022980544,0.10000142671269692,0.1004299291911144,0.11813647790951921,0.10000156860288133,0.22211675512480653
9,12,14,6,19,3,0.11080058517301279,0.10001180890052917,1.0781024023450678,0.10000000001505882,0.10000019248757697,0.10014212982715372,0.1180804683583809,0.10000022909228744,0.20397329491204355
9,12,14,6,20,3,0.1055355664503419,0.10000409529851184,1.100728643547449,0.10000000000083044,0.1000000223150177,0.10004322020093613,0.11801923883402114,0.10000002935180188,0.18678029511220107
9,12,14,6,21,3,0.10270669850887026,0.10000132753798953,1.1193047182384142,0.1000000000000386,0.10000000222617408,0.10001210711314897,0.11797927824488241,0.10000000330388492,0.1711069759377083
9,12,14,6,22,3,0.10126389092090611,0.10000040264518503,1.1346091137232879,0.10000000000000152,0.100000000191301,0.10000312734323599,0.11797819035946354,0.1000000003270467,0.1572563856006835
9,12,14,6,23,3,0.1005639755517967,0.10000011434081878,1.1471820862289375,0.10000000000000006,0.1000000000141697,0.10000074538509343,0.11802796402324177,0.10000000002848908,0.1453362255385642
9,12,14,6,24,3,0.10024060025074191,0.10000003041497489,1.157416027904926,0.1,0.1000000000009051,0.10000016400617674,0.11813754566056199,0.10000000000218492,0.13531674287063966
9,12,14,6,25,3,0.10009816866949205,0.10000000758118197,1.1656222288829325,0.1,0.10000000000004988,0.10000003332498561,0.11831459841015085,0.10000000000014758,0.1270760742421707
9,12,14,6,26,3,0.10003831949305467,0.1000000017712451,1.1720704868645593,0.1,0.10000000000000238,0.10000000625516818,0.11856659722816978,0.10000000000000879,0.12043569949890298
9,12,14,6,27,3,0.10001431360826546,0.10000000038799417,1.1770071783072542,0.1,0.1000000000000001,0.10000000108487517,0.11890147813843326,0.10000000000000046,0.1151881395842885
9,12,14,6,28,3,0.10000511753703384,0.10000000007970333,1.1806598492897427,0.1,0.1,0.10000000017389708,0.11932803613405435,0.10000000000000003,0.11111810789668002
9,12,14,6,29,3,0.10000175163483407,0.10000000001535751,1.1832353205559671,0.1,0.1,0.10000000002576706,0.11985621265704491,0.1,0.1080178262221405
9,12,14,6,30,3,0.10000057408077061,0.1000000000027761,1.1849160211173266,0.1,0.1,0.10000000000352999,0.12049736163654196,0.1,0.10569715427016611
9,12,14,6,31,3,0.10000018018265865,0.10000000000047085,1.185857068491676,0.1,0.1,0.10000000000044719,0.12126454475120282,0.1,0.10398931768465573
9,12,14,6,32,3,0.10000005416452298,0.10000000000007495,1.1861850232440168,0.1,0.1,0.1000000000000524,0.12217288325676284,0.1,0.10275315044568126
9,12,14,6,33,3,0.10000001559618513,0.1000000000000112,1.18599831271373,0.1,0.1,0.10000000000000568,0.12323998224121854,0.1,0.1018728005599607
9,12,14,6,34,3,0.10000000430181821,0.10000000000000157,1.1853688916308953,0.1,0.1,0.10000000000000057,0.12448643949804286,0.1,0.10125577568035289
9,12,14,6,35,3,0.10000000113667103,0.10000000000000021,1.1843445961812675,0.1,0.1,0.10000000000000006,0.12593645203097176,0.1,0.10083006176220063
9,12,14,6,36,3,0.10000000028772439,0.10000000000000003,1.182951699832443,0.1,0.1,0.1,0.12761853632743594,0.1,0.10054087466350789
9,12,14,6,37,3,0.10000000006977182,0.1,1.1811972937702346,0.1,0.1,0.1,0.1295663826963253,0.1,0.10034743457477947
9,12,14,6,38,3,0.1000000000162084,0.1,1.1790712364732079,0.1,0.1,0.1,0.1318198684787551,0.1,0.10022000614294002
9,12,14,6,39,3,0.100000000003607,0.1,1.1765475200858024,0.1,0.1,0.1,0.13442625939195466,0.1,0.100137331629747
9,12,14,6,40,3,0.10000000000076892,0.1,1.1735849777196474,0.1,0.1,0.1,0.13744163225515177,0.1,0.10008450113554311
9,12,14,6,41,3,0.100000000000157,0.1,1.1701273067135658,0.1,0.1,0.1,0.1409325552803482,0.1,0.10005124911704022
9,12,14,6,42,3,0.10000000000003072,0.1,1.1661024136033107,0.1,0.1,0.1,0.14497806301020988,0.1,0.10003063449756001
9,12,14,6,43,3,0.10000000000000575,0.1,1.161421104214884,0.1,0.1,0.1,0.14967196024937762,0.1,0.10001804664684362
9,12,14,6,44,3,0.10000000000000103,0.1,1.1559751546629273,0.1,0.1,0.1,0.15512548044698843,0.1,0.10001047600119445
9,12,14,6,45,3,0.10000000000000019,0.1,1.1496348142965616,0.1,0.1,0.1,0.16147030512675062,0.1,0.10000599168779883
9,12,14,6,46,3,0.10000000000000003,0.1,1.1422458187048603,0.1,0.1,0.1,0.16886191653175558,0.1,0.10000337587449515
9,12,14,6,47,3,0.1,0.1,1.133626039980658,0.1,0.1,0.1,0.17748319777224833,0.1,0.10000187335820485
9,12,14,6,48,3,0.1,0.1,1.1235619846086016,0.1,0.1,0.1,0.18754810285871426,0.1,0.1000010236437954
9,12,14,6,49,3,0.1,0.1,1.1118054806797175,0.1,0.1,0.1,0.19930507982007328,0.1,0.10000055061132032
