383498,209112
383498,155
383498,272
383498,141052
383498,297762
402900,1572
402900,75656
402900,949
402900,489931
402900,259316
363088,141052
363088,209112
363088,99861
363088,297762
363088,49521
466282,43923
466282,449176
466282,308369
466282,12689
466282,272693
455980,460019
455980,4922
455980,445571
455980,489931
455980,260514
454983,449176
454983,101299
454983,49022
454983,109689
454983,333339
293660,1924
293660,141052
293660,1452
293660,8536
293660,9531
283995,299536
283995,1452
283995,1924
283995,8536
283995,13640
177572,281957
177572,479
177572,73
177572,2048
177572,238636
291805,467938
291805,260346
291805,241554
291805,281957
291805,9654
98566,272
98566,1930
98566,604
98566,297762
98566,209112
400155,49017
400155,7131
400155,76492
400155,24021
400155,124905
399174,263109
399174,531
399174,533
399174,387592
399174,530
487558,324786
487558,1883
487558,363676
487558,266856
487558,769
455207,8966
455207,449176
455207,454983
455207,222935
455207,281957
207703,1726
207703,155
207703,272
207703,1924
207703,99861
159824,76492
159824,766
159824,671
159824,672
159824,675
420814,769
420814,424
420814,316029
420814,425336
420814,389015
445571,275
445571,473149
445571,270487
445571,309809
445571,264644
150540,812
150540,260513
150540,12092
150540,11360
150540,16577
449176,398818
449176,376867
449176,152584
449176,184352
507562,81
507562,4935
507562,128
507562,129
507562,507569
269149,278927
269149,101299
269149,338970
269149,10315
269149,346364
270946,10140
270946,49013
270946,10527
270946,9836
270946,808
425,387592
425,675
20352,11774
20352,19101
20352,267935
808,10882
808,150689
808,321612
585,62211
585,1124
585,275
181533,1593
181533,863
181533,122
181533,38055
181533,18360
166426,1865
166426,22
166426,58
166426,285
166426,71805
14160,9479
14160,3933
14160,326359
14160,32085
14160,145316
335797,260514
335797,9836
335797,9598
335797,258509
335797,9447
454619,3134
454619,357096
454619,281957
454619,156022
454619,238636
18785,298
18785,324668
18785,524
18785,137093
18785,9029
353486,333339
353486,314095
353486,131631
353486,258489
353486,70160
257344,251516
257344,333339
257344,603
257344,604
257344,82690
455656,10625
455656,19840
455656,272693
455656,37725
455656,2105
390043,245891
390043,1620
390043,59967
390043,156022
390043,2502
460668,2062
460668,694
460668,745
460668,453
460668,433
454992,691
454992,954
454992,646
454992,37724
454992,36669
194662,98566
194662,155
194662,272
194662,14
194662,293660
608,607
608,601
608,817
608,395
608,8077
437557,376660
437557,11631
437557,391713
437557,112160
437557,14
502682,451480
502682,5951
502682,448514
502682,125255
278154,425
278154,17610
278154,49519
278154,18905
278154,387592
339846,205775
339846,2756
339846,152747
339846,228165
339846,11836
62177,10144
62177,109445
62177,10895
62177,10882
62177,10693
503619,14
503619,419430
503619,109414
503619,935
503619,1359
809,808
809,10882
809,150689
809,10140
472918,55292
472918,36648
472918,36647
472918,38167
472918,11541
1593,135397
1593,351286
1593,105864
1593,12144
118,252
118,34584
118,10830
118,9880
118,12445
456086,295964
456086,66945
456086,6283
456086,2062
456086,3638
370567,10705
370567,297708
370567,540620
370567,10688
370567,42605
320846,492336
320846,578
320846,126889
320846,637
320846,124905
458423,11224
458423,224141
458423,11631
458423,812
458423,194662
920,128
920,62211
106646,261023
106646,4771
106646,769
106646,398181
106646,400535
194,95
194,116711
194,49519
194,10999
194,707
260514,9598
260514,258509
260514,9986
260514,58496
214756,250546
214756,10193
214756,72105
214756,167032
214756,11187
57800,425
57800,17610
57800,30505
57800,10567
57800,18905
218746,52449
218746,118
218746,399796
218746,372058
218746,12445
950,425
950,435
950,7840
950,387893
93456,49519
93456,10054
93456,207703
93456,20352
93456,274167
19913,862
19913,489
19913,38
19913,398818
77338,44564
77338,862
77338,489
77338,13
77338,19913
391713,398818
391713,9813
391713,376867
391713,376660
391713,11421
76492,766
76492,129
76492,671
76492,672
313369,525
